City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fukue,32.6881,128.8419,16.14,74,89,3.09,JP,1680539466
1,nkan,0.3833,9.7833,27.23,82,88,3.26,GA,1680539466
2,punta arenas,-53.15,-70.9167,16.06,47,0,8.23,CL,1680538765
3,torbay,47.6666,-52.7314,1.82,69,75,14.4,CA,1680539466
4,bredasdorp,-34.5322,20.0403,18.16,71,73,4.4,ZA,1680539466
5,saskylakh,71.9167,114.0833,-18.29,97,100,5.58,RU,1680538888
6,saint simons,31.1352,-81.3901,24.03,71,0,5.14,US,1680539466
7,albany,42.6001,-73.9662,12.12,29,36,2.24,US,1680539466
8,husavik,66.0449,-17.3389,3.63,99,100,4.5,IS,1680539467
9,myrtle beach,33.6891,-78.8867,21.77,64,0,2.57,US,1680539256
10,kolyshley,52.7005,44.5367,10.78,51,99,3.0,RU,1680539467
11,east london,-33.0153,27.9116,20.52,77,20,5.66,ZA,1680539467
12,hilo,19.7297,-155.09,21.82,96,75,1.54,US,1680538607
13,atbasar,51.8,68.3333,0.34,78,0,3.95,KZ,1680539467
14,narsaq,60.9167,-46.05,10.12,93,100,3.38,GL,1680539467
15,cabo san lucas,22.8909,-109.9124,26.7,47,40,0.0,MX,1680539342
16,alzamay,55.5562,98.6644,-1.83,64,100,5.85,RU,1680539467
17,vaini,-21.2,-175.2,22.09,94,20,2.57,TO,1680538613
18,cidreira,-30.1811,-50.2056,24.08,61,8,4.97,BR,1680539467
19,sandy bay,-42.913,147.3532,13.38,88,75,3.09,AU,1680539468
20,avarua,-21.2078,-159.775,25.03,69,95,2.06,CK,1680539468
21,mataura,-46.1927,168.8643,7.45,92,77,0.6,NZ,1680539468
22,nikolskoye,59.7035,30.7861,-0.05,94,100,4.57,RU,1680539468
23,rio gallegos,-51.6226,-69.2181,17.03,34,75,10.8,AR,1680538888
24,amalapuram,16.5833,82.0167,27.02,84,77,1.76,IN,1680539468
25,shimsk,58.212,30.7127,-0.17,97,100,3.61,RU,1680539469
26,kodiak,57.79,-152.4072,-1.27,93,100,2.06,US,1680539469
27,rikitea,-23.1203,-134.9692,26.77,81,62,6.13,PF,1680538881
28,bengkulu,-3.8004,102.2655,24.34,89,100,2.84,ID,1680539469
29,port hardy,50.6996,-127.4199,5.0,87,40,2.57,CA,1680539407
30,dwarka,22.2394,68.9678,25.64,77,0,5.29,IN,1680539250
31,kibaya,-5.3,36.5667,17.15,90,100,1.63,TZ,1680539469
32,chuy,-33.6971,-53.4616,15.95,85,100,0.99,UY,1680539470
33,hobart,-42.8794,147.3294,13.36,87,75,3.09,AU,1680539186
34,ponta do sol,32.6667,-17.1,23.35,70,8,2.65,PT,1680538886
35,busselton,-33.65,115.3333,14.33,90,1,3.61,AU,1680538751
36,bardiyah,31.7561,25.0865,17.53,75,3,9.87,LY,1680539470
37,cape town,-33.9258,18.4232,21.18,68,40,2.06,ZA,1680538609
38,carnarvon,-24.8667,113.6333,24.35,74,86,3.79,AU,1680539470
39,barrow,71.2906,-156.7887,-16.99,85,100,5.66,US,1680538883
40,yellowknife,62.456,-114.3525,-14.71,72,75,1.03,CA,1680538814
41,kahului,20.8947,-156.47,25.47,74,20,4.12,US,1680539470
42,tuktoyaktuk,69.4541,-133.0374,-25.0,77,20,2.06,CA,1680539471
43,butaritari,3.0707,172.7902,27.61,80,90,7.88,KI,1680539471
44,new norfolk,-42.7826,147.0587,13.17,72,100,1.25,AU,1680539471
45,mar del plata,-38.0023,-57.5575,22.01,67,75,2.57,AR,1680539264
46,ushuaia,-54.8,-68.3,16.81,36,20,9.26,AR,1680538749
